Battery States,Power Battery States,Grid Actions,Load Demands,Load Deferrals,Power Balances,Tariffs
-0.1,0.2,0.56954026,0.315306376,0,-0.354233888,0.078822447
-0.1,0.09112112,0.8164208,0.289506326,0,-0.518035588,0.071775529
-0.1,-0.2,0.86321545,0.24137931,0,-0.321836132,0.058712052
-0.1,0.2,0.7063663,0.179111883,0,-0.627254419,0.057773689
-0.1,-0.2,0.8136775,0.115107914,0,-0.398569572,0.048334867
-0.1,0.2,0.6636563,0.063259737,0,-0.700396559,0.043771849
-0.1,-0.2,0.73929906,0.021830811,0,-0.417468243,0.040220791
-0.1,0.19302863,0.60346127,0.00099231,0,-0.695497583,0.034572217
-0.1,-0.2,0.6454128,0,0,-0.345412798,0.045556578
-0.1,0.2,0.52894074,0.027040437,0,-0.601900302,0.056117755
-0.1,-0.2,0.55458456,0.111882907,0,-0.142701651,0.066844526
0.1,0.2,0.4668371,0.212106177,0,-0.554730935,0.064323827
-0.03277962,-0.2,0.56681997,0.391962292,0,0.057921948,0.121711132
0.1,0.2,0.5158764,0.577772265,0,-0.238104152,0.21350506
0.1,-0.19472405,0.6646982,0.71371868,0,0.143744548,0.178141674
0.1,0.2,0.58541197,0.737534111,0,-0.14787786,0.132437902
0.1,-0.045385778,0.7514708,0.698834036,0,-0.107250992,0.066016559
0.1,0.15834993,0.7487208,0.588687671,0,-0.418383087,0.035896964
-0.09009099,-0.2,0.8617637,0.547506822,0,-0.024165901,0.042594296
0.1,0.2,0.72078663,0.483254775,0,-0.53753186,0.029328427
-0.1,-0.2,0.8495802,0.440585463,0,-0.108994761,0.013173873
0.08502722,0.2,0.72002184,0.415529645,0,-0.58951942,0.006531739
-0.1,-0.2,0.8370739,0.379558422,0,-0.157515495,0
0.009784922,0.2,0.7151729,0.325725626,0,-0.599232185,0.006126955
-0.1,-0.2,0.802343,0.2480774,0,-0.254265606,0.000128795
-0.05091864,0.06920927,0.68434805,0.204911933,0,-0.497726746,0.011425943
-0.1,-0.2,0.68445796,0.180600347,0,-0.203857606,0.033026679
-0.09494853,0.2,0.54205114,0.187298437,0,-0.459804172,0.03350506
0.08399033,-0.2,0.5970213,0.199702307,0,-0.2813093,0.037516099
-0.1,0.2,0.5308806,0.245348549,0,-0.385532023,0.037276909
0.1,-0.2,0.604034,0.323989085,0,-0.180044921,0.037111316
-0.031063102,0.2,0.54013807,0.441577772,0,-0.267497194,0.084066237
0.1,-0.19455653,0.6574644,0.566856859,0,0.003949007,0.173928243
0.1,0.2,0.5767534,0.716199454,0,-0.160553928,0.21924563
0.1,-0.024357677,0.74574643,0.878938229,0,0.05754947,1
0.1,0.2,0.7581457,0.997519226,0,-0.060626468,1
0.1,-0.2,0.9229622,1,0,0.177037813,0.590395584
0.1,0.2,0.79138744,0.992557678,0,-0.098829765,0.257460902
0.1,-0.2,0.961223,0.917390226,0,0.056167221,0.180809568
-0.03895717,0.2,0.8266597,0.86926321,0,-0.118439301,0.195271389
0.1,-0.2,0.9705468,0.80724386,0,-0.06330292,0.180846366
-0.1,0.2,0.83867717,0.737534111,0,-0.201143059,0.150855566
0.08172214,-0.2,0.9683642,0.666335897,0,-0.18375042,0.129586017
-0.1,0.123284504,0.8398557,0.584222277,0,-0.278917896,0.087267709
-0.1,-0.2,0.912122,0.547258745,0,-0.064863262,0.097424103
-0.1,0.2,0.74998873,0.47903746,0,-0.370951277,0.096099356
-0.1,-0.2,0.8652422,0.446787398,0,-0.118454781,0.094093836
-0.07464068,0.2,0.7108913,0.412800794,0,-0.423449839,0.082465501
